Inglese;Italiano;Frase inglese;Traduzione frase
the;il,lo,la,i, gli, le;The cat is on the table;Il gatto è sul tavolo
of;di, dei;A lot of cats;Un sacco di gatti
to;a;I’m going to buy a new table;Comprerò un tavolo nuovo
and;e;Fred and Mary are at school;Fred e Mary sono a scuola
a;un, uno, una;I need a scarf;Mi serve una sciarpa
in;in;The scarf is in the wardrobe;La sciarpa è nell’armadio
is;è;That wardrobe is quite old;Quell’armadio è piuttosto vecchio
it;lo, la, questo;Take it right away!;Prendilo subito!
you;tu;How old are you?;Quanti anni hai?
that;quello, quella;Bring me that book;Portami quel libro
he;lui;He likes books;A lui piacciono i libri
was;passato di be;The wardrobe was broken;L’armadio era rotto
for;per;Is it ok for you?;Per te va bene?
on;su;I am sleeping on the sofa;Sto dormendo sul divano
are;sei, siete, sono;Are you serious?;Sei serio?
with;con;Can you come with me?;Puoi venire con me?
as;come;Do as you like!;Fa’ come ti pare!
I;io;I am a vet;Sono un veterinario
his;suo/a;This is his dog;This is his dog
they;loro;They love animals;A loro piacciono tantissimo gli animali
be;essere;Try to be kind!;Cerca di essere gentile!
at;a;She is at a meeting;Lei è a una riunione
one;uno;One of us will win;Vincerà uno di noi
have;avere;I have ten cats;Ho dieci gatti
this;questo/a;questo/a;Questa è la mia penna
from;da;Where do you come from?;Da dove vieni?
or;o;You can have it white or blue;Lo puoi prendere bianco o blu
had;passato di have;They had an accident;Ebbero un incidente
by;per, da, vicino;The keys are by the door;Le chiavi sono vicino alla porta
hot;caldo;It is quite hot in here;Qui fa piuttosto caldo
but;ma;That dog is old but lively;Quel cane è vecchio ma vivace
some;qualche, alcuni, alcune;Some time ago;Qualche tempo fa
what;che, che cosa;What do you want?;Cosa vuoi?
there;lì;Put it there;Mettilo lì
we;noi;We are going to the theatre;Noi andiamo a teatro
can;potere;Can I call you later?;Posso chiamarti più tardi?
out;fuori;I’d like to go out for a walk;Mi piacerebbe fare una passeggiata fuori
other;altro, altra;Can I have another glass of wine?;Posso avere un altro bicchiere di vino?
were;passato di be;We were thirsty after the race;Dopo la gara avevamo sete
all;tutto;I’ve been waiting all afternoon;Ho aspettato tutto il pomeriggio
your;tuo, tua;This is your new bicycle;Questa è la tua nuova bici
when;quando;When did she leave?;Quando è andata via?
up;su;Go up to the top of the mountain;Vai su in cima alla montagna
use;usare;Don’t use that computer;Non usare quel computer
word;parola;Do not say another word;Non dire un’altra parola
how;come;How are you?;Come stai?
said;passato di say;She didn’t know what she said;Non sapeva quello che diceva
an;un, uno, una;I’ll have an ice-cream;Ordinerò un gelato
each;ogni, ognuno;Each of them has a computer;Ognuno di loro ha un computer
she;lei;She wears a short skirt;Lei indossa una minigonna
which;quale;Which one do you like more?;Quale ti piace di più?
do;fare;Does she know what to do?;Lei sa cosa fare?
their;loro;It is their cat;E’ il loro gatto
time;tempo, ora;What time is it?;Che ore sono?
if;se;If that is true, I am right;Se questo è vero ho ragione
will;ausiliare per costruzione futuro;I will go to buy a skirt;Andrò a comprare una gonna
way;modo, strada;Tell me the way;Indicami la strada
about;circa;I’ll be there at about 9,30;Sarò lì per le 9,30
many;molto, tanto;Jessica has many cousins;Jessica ha molti fratelli
then;poi, dopo, allora;What did you do until then?;Cosa hai fatto fino ad allora?
them;them;You can go with them if you like;Puoi andare con loro se ti fa piacere
would;ausiliare per costruzione condizionale;I would like a cup of tea;Vorrei una tazza di tè
write;scrivere;Write a letter to your mother;Scrivi una lettera a tua madre
like;piacere;Do you like chicolate?;i piace il cioccolato?
so;così;He is so smart;Lui è così intelligente
these;questi, queste;I had these books from my father;Mio padre mi ha dato questi libri
her;suo, sua;John is a friend of her;John è suo amico
long;lungo;I’ve been studying it for long;L’ho studiato molto a lungo
make;fare, produrre;That factory makes toys;Quella fabbrica fa giocattoli
thing;cosa;Put those things in the closet;Metti quelle cose nel cassetto
see;vedere;Come and see my new flat;Vieni a vedere il mio nuovo appartamento
him;lui;You are toller then him!;Sei più alto di lui!
two;due;They have two children;Hanno due bambini
has;ha;She has very long hair;Lei ha dei capelli molto lunghi
look;guardare;Don’t look at me that way;Non guardarmi in quel modo
more;più;Give me some more sugar;Dammi altro zucchero
day;giorno;I’ll stay one day more;Mi fermerò un giorno in più
could;passato di can;When she was young she could sky;Quando era giovane sapeva sciare
go;andare;Let’s go to the cinema!;Andiamo al cinema, dai!
come;venire;Come with me, it’ll be funny;Vieni con me, sarà divertente
did;feci, fece, …;What did you do yesterday?;Cosa hai fatto ieri?
my;mio;This is my brother;Questo è mio fratello
sound;suono;The sound of your guitar is perfect;Il suono della tua chitarra è perfetto
no;no;You always say no!;Dici sempre di no!
most;più;This is the most difficult moment;Questo è il momento più difficile
number;numero;Ask her the telephine number;Chiedile il numero di telefono
who;chi;Who are you going to invite?;Chi inviterai?
over;su, sopra;There is a picture over the bed;C’è un quadro sopra il letto
know;sapere;I know you are a good dancer;So che sei un bravo ballerino
water;acqua;Can I have some water?;Posso avere dell’acqua?
than;di, che;She is taller than he is;PLei è più alta di lui
call;chiamare;Call the vet!;Chiamate il veterinario!
first;primo;The school first of all;Prima di tutto la scuola
people;gente;The square was crowded with people;La piazza era piena di gente
may;potere;May I go to the toilet?;Posso andare in bagno?
down;giù;I feel a little down;Mi sento un po’ giù
side;lato;Come to this side of the street;Vieni da questa parte della strada
been;part. passato di be;I’ve been there many times;Ci sono stato molte volte
now;adesso;Tell me right now!;Dimmelo subito!
find;trovare;I cannot find my keys;Non riesco a trovare le mie chiavi
any;qualunque;I can play any kind of guitar;So suonare qualunque tipo di chitarra
new;nuovo;That is my new guitar;Questa è la mia nuova chitarra
work;lavoro;I work hard all week long;Lavoro duro tutta la settimana
part;parte;I liked the first part of the concert;Mi è piaciuta la prima parte del concerto
take;prendere;Take an instrument and play with me;Prendi uno strumento e suona con me
get;ottenere;You’ll get great results;Otterrai grandi risultati
place;luogo;The garage is the place I use to play;Di solito suono in garage
made;passato di make;The children made a lot of noise;I bambini facevano molto rumore
live;vivere;I’d like to live in Spain;Mi piacerebbe vivere in Spagna
where;dove;Where do your children go tu school?;Dove vanno a scuola i tuoi figli?
after;dopo;Let’s meet after the concert;Vediamoci dopo il concerto
back;dietro, schiena;My cousin has back problems;Mio cugino ha problemi di schiena
little;piccolo;I have three little brothers;Ho tre fratelli più piccoli
only;solo;Only one of my brothers goes to school;Solo uno dei miei fratelli va a scuola
round;rotondo;Coins are round;Le monete sono rotonde
man;uomo;That man invented the coin;Quell’uomo inventò la moneta
year;anno;My sister goes on vacation once a year;Mia sorella va in vacanza una volta all’anno
came;passato di come;They came on vacation at my place;Vennero in vacanza a casa mia
show;mostrare;Show me the video of your vacation;Mostrami il video della tua vacanza
every;ogni;Every year there are many car accidents;Ogni anno capitano molti incidenti automobilistici
good;bene;He is a good man;E’ un brav’uomo
me;mi, me;Jessica is fatter than me;Jessica è più grassa di me
give;dare;Don’t give her more food;Non darle altro cibo
our;nostro;This is our wedding video;Questo è il video delle nostre nozze
under;sotto;The guitar is under the sofa;La chitarra è finita sotto il sofà
name;nome;I do not remember your brother’s name;Non ricordo il nome di tuo fratello
very;molto;Your new sofa is very nice;Il tuo nuovo sofà è proprio carino
through;attraverso;I’d like to pass through the walls;Mi piacerebbe passare attraverso i muri
just;solo, appena;Fred just missed the train;Fred ha appena perso il treno
form;scheda, modulo;Fill in that form to suscribe;Riempite quel modulo per iscrivervi
much;molto;The exam form was so much clear;La scheda d’esame era molto chiara
great;ottimo;Fred and Jessica did a great show;Fred e Jessica hanno fatto un grande spettacolo
think;pensare;To think causes me headache;Pensare mi provoca il mal di testa
say;dire;What were you about to say?;Cosa stavi per dire?
help;aiuto;I need my parents’ help!;Ho bisogno dell’aiuto dei miei genitori
low;basso;The plane was flying low;L’aereo volava basso
line;linea;All along the line;Su tutta la linea
before;prima;Listen to me before you say something;Ascolta me prima di dire qualcosa
turn;girare;Please turn left;Gira a sinistra per favore
cause;causare;You were the cause of my divorce;Hai causato tu il mio divorzio
same;stesso;My cousin and my brother go to the same school;Mio cugino e mio fratello frequentano la stessa scuola
mean;significare;What does ab illo tempore mean?;Cosa significa ab illo tempore?
differ;differire;Your point of view differs from mine;Il tuo punto di vista differisce dal mio
move;muovere;Let’s move the wordrobe upstairs;Portiamo l’armadio al piano di sopra
right;giusto;We’ll do it at the right moment;Lo faremo al momento giusto
boy;ragazzo;Look at that boy, do you know him?;Guarda quel ragazzo, lo conosci?
old;vecchio;I want to buy an old bycicle;Voglio comprarmi una vecchia bicicletta
too;anche;I like apples, and oranges too;Mi piacciono le mele e anche le arance
does;lui, lei fa;She always does the right thing;Lei fa sempre la scelta giusta
tell;dire;Don’t tell father I was beeing spoilt;Non dire a papà che ho fatto i capricci
sentence;frase;The third sentence has a spelling error;Nella terza frase c’è un errore di ortografia
set;stabilire;They want to meet to set the price;Vogliono incontrarsi per stabilire il prezzo
three;tre;My cousin has three dogs;Mia cugina ha tre cani
